id,restaurant_name,rating,number_of_ratings,delivery_fee,full_address,lat,lng,prague_municipal_district,url
107,canttina,91.0,492,79 Kč,"Pod Paťankou 1B, Praha 6 16000",50.1114315,14.3927658,6,https://www.damejidlo.cz/canttina
108,capua,66.0,6,29 Kč (zdarma od 700 Kč),"Milady Horákové 9, Praha 7 17000",50.099064,14.4317005,7,https://www.damejidlo.cz/capua
109,restaurant-u-velke-prahy,84.0,185,199 Kč (zdarma od 900 Kč),"Ježovická 6, Praha 9 19016",50.0693006,14.6509552,9,https://www.damejidlo.cz/restaurant-u-velke-prahy
110,caviar-house,-1.0,0,69 Kč,"Zborovská 49, Praha 5 15000",50.0810499,14.4069136,5,https://www.damejidlo.cz/caviar-house
111,cihelna-la-familia,70.0,19,29 Kč (zdarma od 600 Kč),"Křižíkova 26, Praha 8 18000",50.0919401,14.4490648,8,https://www.damejidlo.cz/cihelna-la-familia
112,cipa-gastro,-1.0,0,19 Kč (zdarma od 700 Kč),"Hořejší Nábřeží 368, Praha 15000",50.0668977,14.4110637,15000,https://www.damejidlo.cz/cipa-gastro
113,ciros,,,,,,,,https://www.damejidlo.cz/ciros
114,classe-italia-ristorante,68.0,5,29 Kč (zdarma od 700 Kč),"Partyzánská 5, Praha 7 17000",50.1078467,14.4366067,7,https://www.damejidlo.cz/classe-italia-ristorante
115,coffee-inn,-1.0,0,29 Kč (zdarma od 700 Kč),"Sokolovská 264/227, Praha 9 19000",50.1068197,14.4894265,9,https://www.damejidlo.cz/coffee-inn
116,coffee-park,-1.0,0,29 Kč (zdarma od 700 Kč),"Chopinova 6, Praha 12000",50.0791085,14.445115,12000,https://www.damejidlo.cz/coffee-park
117,colonial-coloseum-pizza-luka,100.0,5,59 Kč (zdarma od 1 000 Kč),"Mukařovského 2, Praha 15500",50.0454219,14.3229013,15500,https://www.damejidlo.cz/colonial-coloseum-pizza-luka
118,corleone-andel2,85.0,24,zdarma,"Na Bělidle 42, Praha 5 15000",50.0715206,14.4044629,5,https://www.damejidlo.cz/corleone-andel2
119,corleone-pankrac,86.0,48,zdarma,"Hvězdova 2860/24, Praha 4 14000",50.0508655,14.4348482,4,https://www.damejidlo.cz/corleone-pankrac
120,corleone-prosek-ii,87.0,95,zdarma až 60 Kč,"Vysočanská 382, Praha 9 19000",50.1194637,14.4991532,9,https://www.damejidlo.cz/corleone-prosek-ii
121,crodonut-club,-1.0,0,79 Kč (zdarma od 800 Kč),"Nám. Prezidenta Masaryka 14, Praha 4 – Kunratice 14000",50.0133539,14.4840002,4,https://www.damejidlo.cz/crodonut-club
122,crocknroll,-1.0,0,29 Kč,"Koněvova 11, Praha 3 13000",50.0874892,14.4546146,3,https://www.damejidlo.cz/crocknroll
123,curry-tikka,88.0,21,49 Kč,"Na Chvalské Tvrzi 858/1, Praha - Horní Počernice 19300",50.111556,14.5963397,,https://www.damejidlo.cz/curry-tikka
124,curry-house,94.0,65,29 Kč až 49 Kč (zdarma od 1 000 Kč),"Novákových 7, Praha 8 18000",50.1032336,14.4747294,8,https://www.damejidlo.cz/curry-house
125,curry-palace,87.0,116,90 Kč,"Jirečkova 13, Praha 7 17000",50.0991884,14.4230108,7,https://www.damejidlo.cz/curry-palace
126,grill,89.0,482,59 Kč (zdarma od 600 Kč),"K zahrádkám 1047/21a, Praha 5 15000",50.0489403,14.3256408,5,https://www.damejidlo.cz/grill
127,cerveny-koral,54.0,7,29 Kč (zdarma od 700 Kč),"Lodžská 850/6 (OC Krakov), Praha 8 18100",50.1276854,14.418456,8,https://www.damejidlo.cz/cerveny-koral
128,ceska-jidelna-u-sotonu-ii,88.0,133,zdarma až 59 Kč,"Nuselská 78, Praha 4 14000",50.0592352,14.4495577,4,https://www.damejidlo.cz/ceska-jidelna-u-sotonu-ii
129,ceske-jidlo-1,53.0,6,29 Kč (zdarma od 700 Kč),"Wilsonova 8, Praha 2 12000",50.0832387,14.4350214,2,https://www.damejidlo.cz/ceske-jidlo-1
130,ceskoslovenska-rizkovna,98.0,110,zdarma až 99 Kč,"Přátelství 74/12A, Praha 10 10000",50.029866,14.6007653,10,https://www.damejidlo.cz/ceskoslovenska-rizkovna
131,cina-jede-jizni-mesto,84.0,103,zdarma (zdarma od 99 Kč),"Hrusická 2617/3A, Praha 4 14000",50.0486467,14.4846588,4,https://www.damejidlo.cz/cina-jede-jizni-mesto
132,cinska-restaurace-xiu-shan-shui,76.0,5,49 Kč,"Hrusická 2617/3A, Praha 4 14000",50.0486467,14.4846588,4,https://www.damejidlo.cz/cinska-restaurace-xiu-shan-shui
133,dai-marinai-balkan-restaurants,-1.0,0,49 Kč (zdarma od 700 Kč),"Zázvorkova 25/3, Praha 5 15500",50.0451641,14.3318797,5,https://www.damejidlo.cz/dai-marinai-balkan-restaurants
134,damerizek,91.0,256,29 Kč (zdarma od 500 Kč),"Na Květnici 1, Praha 4 14000",50.0610895,14.4401306,4,https://www.damejidlo.cz/damerizek
135,deli-viet-restaurant,81.0,30,29 Kč (zdarma od 700 Kč),"Opletalova 20, Praha 1 11000",50.0817105,14.4305535,1,https://www.damejidlo.cz/deli-viet-restaurant
136,detaillo-atrium-flora,-1.0,0,zdarma,"Vinohradská 2828/151, Praha 3 13000",50.0781362,14.4614033,3,https://www.damejidlo.cz/detaillo-atrium-flora
137,detaillo-restaurant-centrum-chodov,-1.0,0,zdarma,"Roztylská 2321/19, Praha 4 14800",50.0320692,14.4909962,4,https://www.damejidlo.cz/detaillo-restaurant-centrum-chodov
138,diversion-bistro-1,88.0,10,29 Kč (zdarma od 700 Kč),"Mělnická 12, Praha 15000",50.0800961,14.4050622,15000,https://www.damejidlo.cz/diversion-bistro-1
139,dobrej-rizek-taky-burger,93.0,25,zdarma až 35 Kč,"Průběžná 180/42, Praha 10 10000",50.067478,14.4935032,10,https://www.damejidlo.cz/dobrej-rizek-taky-burger
140,dobry-rizek-praha-1,70.0,8,75 Kč,"U Plynárny 692/62, Praha 4 14000",50.0566633,14.4688903,4,https://www.damejidlo.cz/dobry-rizek-praha-1
141,domaci-testoviny-honza-matej,89.0,171,49 Kč,"Seifertova 573/11, Praha 3 13000",50.0854803,14.4409478,3,https://www.damejidlo.cz/domaci-testoviny-honza-matej
142,donor-kebab,83.0,32,29 Kč (zdarma od 700 Kč),"Ostrovského 1/34, Praha 5 15000",50.0689928,14.4045141,5,https://www.damejidlo.cz/donor-kebab
143,doner-kebab-praha-4,73.0,9,29 Kč (zdarma od 700 Kč),"Čestmírova 365/3, Praha 4 14000",50.0643229,14.4418634,4,https://www.damejidlo.cz/doner-kebab-praha-4
144,donut-club-praha,-1.0,0,79 Kč (zdarma od 800 Kč),"Nám. Prezidenta Masaryka 14, Praha 4 – Kunratice 14000",50.0133539,14.4840002,4,https://www.damejidlo.cz/donut-club-praha
